Question,Answer,File,URL
Which Indigenous peoples’ unceded traditional territories does Simon Fraser University acknowledge?,"xʷməθkʷəy̓əm (Musqueam)
Sḵwx̱wú7mesh Úxwumixw (Squamish)
səlilwətaɬ (Tsleil-Waututh)
q̓íc̓əy̓ (Katzie)
kʷikʷəƛ̓əm (Kwikwetlem)
Qayqayt
Kwantlen
Semiahmoo
Tsawwassen",0_11,https://www.sfu.ca/students/residences.html
Is there a “Learn More” link for residence information?,"Yes — there are multiple ""Learn more"" links.",0_11,https://www.sfu.ca/students/residences.html
Does the site suggest that life on campus can lead to greater academic success?,Yes,0_11,https://www.sfu.ca/students/residences.html
Does the website invite prospective residents to “See yourself here”?,Yes,0_11,https://www.sfu.ca/students/residences.html
Who operates the residence and housing information on the site (which university)?,Simon Fraser University,0_11,https://www.sfu.ca/students/residences.html
How can I explore SFU programs and discover my possibilities?,"- Search the A to Z list (View A to Z list)  
- Browse programs by faculty (Faculty of Applied Sciences; Arts & Social Sciences; Beedie School of Business; Communication, Art & Technology; Education; Environment; Health Sciences; Science)  
- Explore bilingual/French programs and French-taught elective courses  
- Join a campus tour (SFU Burnaby or SFU Surrey) and attend upcoming events  
- Join the mailing list for program, application and event updates  
- Discover student supports and the overall SFU student experience",0_12,https://www.sfu.ca/students/admission/programs.html
Where should I search if I already know the program I want to pursue?,A to Z list,0_12,https://www.sfu.ca/students/admission/programs.html
What can I do if I have a general idea of what to study but want to narrow it down?,Browse our programs by faculty.,0_12,https://www.sfu.ca/students/admission/programs.html
Which faculties can I browse programs by on the SFU site?,"Faculty of Applied Sciences
Faculty of Arts and Social Sciences
Beedie School of Business
Faculty of Communication, Art and Technology
Faculty of Education
Faculty of Environment
Faculty of Health Sciences
Faculty of Science",0_12,https://www.sfu.ca/students/admission/programs.html
Is there an A to Z list of programs available?,"Yes — there is an A to Z list of programs (see ""View A to Z list"").",0_12,https://www.sfu.ca/students/admission/programs.html
Which faculties are listed on the programs page?,"Faculty of Applied Sciences
Faculty of Arts and Social Sciences
Beedie School of Business
Faculty of Communication, Art and Technology
Faculty of Education
Faculty of Environment
Faculty of Health Sciences
Faculty of Science",0_12,https://www.sfu.ca/students/admission/programs.html
Are full-time SFU international students eligible for a post-graduation work permit?,"Yes. Full-time SFU international students who graduate from a Bachelor’s, Master’s, or Doctoral program and meet all PGWP eligibility criteria may be eligible for a post‑graduation work permit for up to three years.",0_12,https://www.sfu.ca/students/admission/programs.html
How long may eligible international graduates receive a post-graduation work permit?,Up to three years.,0_12,https://www.sfu.ca/students/admission/programs.html
Which degree programs make international students potentially eligible for a PGWP?,"Bachelor’s degree programs
Master’s degree programs
Doctoral degree programs",0_12,https://www.sfu.ca/students/admission/programs.html
"What should international students completing non-degree programs (diploma, certificate, post-baccalaureate) confirm about PGWP eligibility?","That their non‑degree program meets current post‑graduation work permit (PGWP) eligibility by reviewing the latest field‑of‑study requirements on the Immigration, Refugees and Citizenship Canada (IRCC) website.",0_12,https://www.sfu.ca/students/admission/programs.html
Where can I review the latest field of study requirements for PGWP eligibility?,"Immigration, Refugees and Citizenship Canada website",0_12,https://www.sfu.ca/students/admission/programs.html
Where can international students find more information about employment options and volunteering?,SFU International Student Advising and Programs’ Employment and Volunteer page,0_12,https://www.sfu.ca/students/admission/programs.html
Is SFU the only university in BC to offer courses and programs taught in French?,Yes,0_12,https://www.sfu.ca/students/admission/programs.html
Can students study at SFU through bilingual programs or elective courses taught in French?,Yes. Students can pursue studies through bilingual programs or elective courses taught in French.,0_12,https://www.sfu.ca/students/admission/programs.html
How can I learn more about programs taught in French at SFU?,"Visit the ""Learn more about programs in French"" page.",0_12,https://www.sfu.ca/students/admission/programs.html
What campus tours are available after exploring undergraduate programs?,"SFU Burnaby
SFU Surrey",0_12,https://www.sfu.ca/students/admission/programs.html
Which SFU campuses offer tours mentioned in the text?,"SFU Burnaby
SFU Surrey",0_12,https://www.sfu.ca/students/admission/programs.html
How can attending upcoming events help me if I have a program or faculty in mind?,"- Ask program- and faculty-specific questions and get detailed answers  
- Meet faculty, admissions staff, and current students  
- See campus facilities, labs, and resources relevant to your program  
- Learn about course structure, co-op/internship and career outcomes  
- Clarify admission requirements and application tips  
- Compare options to make a more informed decision  
- Experience campus culture and available student supports  
- Network and obtain contacts for follow-up",0_12,https://www.sfu.ca/students/admission/programs.html
What paths make up the student journey at SFU?,"personal, academic, and professional",0_12,https://www.sfu.ca/students/admission/programs.html
What kinds of services and supports are available to undergraduate students at SFU?,"Personal, academic and professional services and supports.",0_12,https://www.sfu.ca/students/admission/programs.html
"How can I get regular updates on SFU programs, applications, admission details, and events?",Join the mailing list,0_12,https://www.sfu.ca/students/admission/programs.html
How do I join the SFU mailing list?,"Click the ""Join the mailing list"" link on the SFU programs page to subscribe and receive regular updates on programs, admissions, important dates, events, and the student experience.",0_12,https://www.sfu.ca/students/admission/programs.html
What is the street address for Simon Fraser University Burnaby?,8888 University Drive,0_12,https://www.sfu.ca/students/admission/programs.html
Which Indigenous peoples’ unceded traditional territories does SFU acknowledge for its campuses?,"xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh Úxwumixw (Squamish), səlilwətaɬ (Tsleil-Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_12,https://www.sfu.ca/students/admission/programs.html
Does the website include links to Terms & Conditions and a Privacy policy?,Yes,0_12,https://www.sfu.ca/students/admission/programs.html
How many students were enrolled at SFU in 2023?,37K+,0_13,https://www.sfu.ca/students/admission/apply.html
How many international students attend SFU and from how many countries?,"8,290+
133 countries",0_13,https://www.sfu.ca/students/admission/apply.html
What alumni counts are listed on the page?,"200K+
180K+",0_13,https://www.sfu.ca/students/admission/apply.html
How do I apply to Simon Fraser University?,"1. Explore programs, admission requirements, timelines and download the viewbook.  
2. Start your application through the BC application service (ApplyBC) and select Simon Fraser University.  
3. Pay the application fee online by credit card.  
4. Submit required documents listed in your SFU to‑do list to maximize chances of early admission.  
5. Monitor your application status and follow the timeline for your applicant pathway (BC/Yukon vs. other).  
6. Accept any offer of admission and pay the admission deposit.  
7. Book a campus tour, attend SFU events, and connect with recruitment/admissions for questions.  
8. Apply for SFU Residence and Housing or arrange off‑campus housing.  
9. Share your details with SFU to receive essential updates and next‑step information.",0_13,https://www.sfu.ca/students/admission/apply.html
Where do I start my SFU application?,Submit your application through the British Columbia application service — select Simon Fraser University as the institution.,0_13,https://www.sfu.ca/students/admission/apply.html
How can I download the SFU viewbook?,"Click the ""Download our viewbook"" link on SFU's admissions/application webpage.",0_13,https://www.sfu.ca/students/admission/apply.html
Through which application service are all post-secondary applications in British Columbia submitted?,EducationPlannerBC,0_13,https://www.sfu.ca/students/admission/apply.html
How is the application fee payable?,Online by credit card.,0_13,https://www.sfu.ca/students/admission/apply.html
Is an admission deposit required upon acceptance of an offer?,Not specified in the provided context.,0_13,https://www.sfu.ca/students/admission/apply.html
"Where can I explore SFU’s programs, faculties, and admission requirements?",Explore our programs,0_13,https://www.sfu.ca/students/admission/apply.html
What should I do after I submit my SFU application?,"- Check your application to‑do list and submit required documents as soon as possible  
- Review the admissions timeline and evaluation for your applicant pathway (BC/Yukon vs others)  
- Attend recruitment and faculty events and connect with SFU admissions representatives and current students  
- Book an in‑person or virtual campus tour  
- Contact admissions if you have questions  
- Consider housing: apply for SFU Residence and Housing if eligible and explore off‑campus options  
- Share your contact details with SFU to receive essential, timely updates",0_13,https://www.sfu.ca/students/admission/apply.html
How can I maximize my chances of receiving an early offer of admission?,"- Submit your application as early as possible
- Upload and submit all required supporting documents (transcripts, test scores, etc.) promptly
- Monitor and complete your application to‑do list and respond to requests quickly
- Ensure you meet the specific admission requirements for your pathway (BC/Yukon vs other)
- Pay the application fee and any required deposit on time
- Contact SFU recruitment/admissions with questions and attend info sessions/events for guidance",0_13,https://www.sfu.ca/students/admission/apply.html
How are high school applicants from BC and Yukon evaluated compared to applicants from other provinces or countries?,They’re evaluated on a different admissions pathway—with a separate timeline and evaluation process—than applicants from other Canadian provinces and international (outside-Canada) applicants.,0_13,https://www.sfu.ca/students/admission/apply.html
Where can BC/Yukon applicants view their application timeline?,VIEW TIMELINE FOR BC/YUKON APPLICANTS,0_13,https://www.sfu.ca/students/admission/apply.html
What are the application date ranges listed on the page?,"June 16, 2025 to September 15, 2025
December 1, 2025 to January 15, 2026
October 1, 2025 to January 31, 2026
March 1, 2026 to April 15, 2026",0_13,https://www.sfu.ca/students/admission/apply.html
How can I speak directly with SFU representatives or current students?,"Book a campus tour (in-person or virtual)  
Attend recruitment and faculty-specific events — View our events  
Connect with SFU recruitment and admissions representatives (Connect with us)",0_13,https://www.sfu.ca/students/admission/apply.html
How do I book a campus tour and are tours offered virtually as well as in person?,"Book a campus tour on SFU's website by clicking the ""Book a campus tour"" page/link.  
Yes — tours are offered both in person and virtually.",0_13,https://www.sfu.ca/students/admission/apply.html
What will student guides cover during campus tours?,"Learning environments around campus
Personal experiences with student life
Campus culture
What it's like to be part of the SFU community",0_13,https://www.sfu.ca/students/admission/apply.html
How can I view upcoming general and faculty-specific SFU events?,View our events,0_13,https://www.sfu.ca/students/admission/apply.html
How can I connect with SFU recruitment and admissions representatives?,"- Attend upcoming general and faculty-specific events (view our events)  
- Speak directly with SFU representatives and current students (in-person or virtual)  
- Book a campus tour  
- Use the “Connect with us” contact option",0_13,https://www.sfu.ca/students/admission/apply.html
What on-campus housing options and amenities are available for undergraduate students?,"- Private living and study space
- Access to housing amenities
- All-you-care-to-eat meal plans at the 24/7 Dining Commons
- On‑campus supports
- Guaranteed housing for eligible first‑year students starting in the Fall",0_13,https://www.sfu.ca/students/admission/apply.html
Is guaranteed housing available for first-year students starting in the Fall term?,Yes — guaranteed housing is available for first‑year students who meet eligibility requirements and are starting in the Fall term.,0_13,https://www.sfu.ca/students/admission/apply.html
Do I need to meet eligibility requirements to qualify for guaranteed residence housing?,Yes — guaranteed housing is available for first‑year students who meet eligibility requirements and are starting in the Fall term.,0_13,https://www.sfu.ca/students/admission/apply.html
What off-campus housing resources or guidance does SFU provide?,"- Help thinking about off‑campus housing options, including budget, location, lifestyle preferences and other important considerations  
- A “Learn about off‑campus housing options” information/resource page",0_13,https://www.sfu.ca/students/admission/apply.html
How can I sign up to receive essential application information and updates from SFU?,Share your details with us,0_13,https://www.sfu.ca/students/admission/apply.html
What is SFU’s campus address?,"8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_13,https://www.sfu.ca/students/admission/apply.html
On which Indigenous traditional territories does SFU acknowledge its campuses reside?,"xʷməθkʷəy̓əm (Musqueam)
Sḵwx̱wú7mesh Úxwumixw (Squamish)
səlilwətaɬ (Tsleil-Waututh)
q̓íc̓əy̓ (Katzie)
kʷikʷəƛ̓əm (Kwikwetlem)
Qayqayt
Kwantlen
Semiahmoo
Tsawwassen",0_13,https://www.sfu.ca/students/admission/apply.html
Where can I find SFU’s Terms & Conditions and Privacy Policy?,"In the footer of SFU’s website — links labeled ""Terms & Conditions"" and ""Privacy policy.""",0_13,https://www.sfu.ca/students/admission/apply.html
Which student pathways have different admission requirements at SFU?,"High school students in BC and Yukon
Students from other provinces in Canada and from outside Canada",0_13,https://www.sfu.ca/students/admission/apply.html
How will I see my to-do list of required documents after applying?,In your submitted application — a to‑do list will appear in your application account/portal after you submit.,0_13,https://www.sfu.ca/students/admission/apply.html
"Who can I contact if I have questions about programs, requirements, or the admissions process?",SFU recruitment and admissions representatives,0_13,https://www.sfu.ca/students/admission/apply.html
Which campuses does Campus Security serve?,"Burnaby, Surrey and Vancouver campuses",0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
What services does Campus Security provide?,"Emergency support
First aid response
Guiding emergency responders (fire, ambulance, police) to the right place on campus quickly
Non-emergency assistance (e.g., Safe Walk)",0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
Does Campus Security provide emergency support?,Yes,0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
Does Campus Security provide first aid response?,Yes,0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
What role does Campus Security play with emergency responders?,"They help guide emergency responders (fire, ambulance, police) to the right place on campus quickly.",0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
How can you request a Safe Walk?,Call the non-emergency line.,0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
Can a Safe Walk be requested at any time?,Yes,0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
"For non-emergency assistance, what should you call?",the non-emergency line,0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
What is the address listed for the campus security location?,"8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
In which city is 8888 University Drive located?,Burnaby,0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
What is the postal code for the address given?,V5A 1S6,0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
Which peoples' unceded traditional territories does Simon Fraser University acknowledge?,"xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh Úxwumixw (Squamish), səlilwətaɬ (Tsleil-Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
How many campuses does the territorial acknowledgment refer to?,3,0_14_1,https://www.sfu.ca/srs/contact/24-7-emergency-contacts.html
What does the safety committee structure at SFU support and guide?,Programs at SFU,0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
Which committees comprise the safety committee structure at SFU?,"Local Joint Health and Safety Committees (LJHSC)
Central University Health and Safety Committee (CUHSC)",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
For which campuses has WorkSafeBC issued a variation for the safety committee structure?,"Burnaby, Vancouver and Surrey",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
To whom do the Local Joint Health and Safety Committees (LJHSC) report?,department heads,0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What do the LJHSC assist in monitoring?,"departmental safety programs, safety concerns raised by employees and students",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What safety concerns do the LJHSC address?,Safety concerns raised by employees and students,0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What actions do the LJHSC take after identifying safety concerns?,"- Assist in monitoring departmental safety programs
- Make recommendations to department heads (including mitigation/elimination measures)
- Promote safety communication
- Raise safety concerns/issues from the LJHSCs to CUHSC
- Conduct inspections and document them using the Inspections Management module",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
How are the Local Joint Health and Safety Committees established?,By their terms of reference.,0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
Where can additional resources for safety committee members be found?,On the safety committee SharePoint site.,0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What does the guidance document for safety committee members outline?,"The mandate of safety committees
The roles and responsibilities of committee members
Communication between CUHSC and the LJHSCs
How safety concerns/issues are raised from the LJHSCs to CUHSC",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What communication does the guidance document describe between CUHSC and the LJHSCs?,"Communication between CUHSC and the LJHSCs
How safety concerns/issues are raised from the LJHSCs to CUHSC",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
To whom does the Central University Health and Safety Committee (CUHSC) report?,Chief Safety Officer,0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What types of safety issues does the CUHSC address?,"safety policies, safety issues arising in public areas",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
How does the CUHSC promote communication among safety committees?,"- Promotes communication and information sharing among Local Joint Health and Safety Committees (LJHSCs)
- Provides a guidance document outlining communication between CUHSC and LJHSCs and how issues are raised
- Shares the CUHSC list of voting members and meeting minutes",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
How is the CUHSC established?,By its terms of reference.,0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What can be reviewed regarding the CUHSC membership and activities?,"Current CUHSC list of voting members
Meeting minutes",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What is the objective of inspections conducted by safety committees?,To identify safety hazards so they can be mitigated or eliminated.,0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
Who is responsible for conducting inspections of areas of responsibility?,Local Joint Health and Safety Committees (LJHSC),0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What system or module is used to perform inspections?,Inspections Management module,0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What is the URL for the Inspections Management module?,https://safety.sfu.ca/,0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What postal address is listed in the extracted text?,"8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
Which Indigenous peoples’ traditional territories does Simon Fraser University acknowledge?,"xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh Úxwumixw (Squamish), səlilwətaɬ (Tsleil‑Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
How are the traditional territories described in relation to SFU’s three campuses?,On whose unceded traditional territories our three campuses reside,0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
What languages or names of Indigenous peoples are included in SFU’s territorial acknowledgment?,"xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh Úxwumixw (Squamish), səlilwətaɬ (Tsleil-Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_14_2_1,https://www.sfu.ca/srs/work-research-safety/safety-committees.html
How can I submit a Facilities Services request?,"Click ""Submit a request"" to submit a Facilities Services request for any of the three campuses.",0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
For how many campuses can I submit a Facilities Services request?,3,0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
What services does Facilities Services provide?,"Event setups
Building signage
Coordination of infrastructure projects and minor renovations
Custodial services (through a contract with a custodial services contractor)
Mechanical shop
HVAC shop
Plumbing shop
Central heating plant",0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
Are event setups included in the services offered?,Yes — event setups are included.,0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
Is building signage covered by Facilities Services?,Yes — building signage is covered by Facilities Services.,0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
Does Facilities Services coordinate infrastructure projects and minor renovations?,Yes,0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
"Is there an option labeled ""Submit a request"" on the site?",Yes,0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
Which services are provided through a contract with a custodial services contractor?,Custodial services,0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
Which shops are included in the Facilities Services offerings?,"Mechanical shop, HVAC shop, Plumbing shop",0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
Does Facilities Services include a central heating plant?,Yes,0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
Is custodial service provided through a contractor?,Yes,0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
What is the address listed for Simon Fraser University?,"8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
What is the postal code for the Burnaby address shown?,V5A 1S6,0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
Which Indigenous peoples and nations does Simon Fraser University acknowledge?,"xʷməθkʷəy̓əm (Musqueam)
Sḵwx̱wú7mesh Úxwumixw (Squamish)
səlilwətaɬ (Tsleil-Waututh)
q̓íc̓əy̓ (Katzie)
kʷikʷəƛ̓əm (Kwikwetlem)
Qayqayt
Kwantlen
Semiahmoo
Tsawwassen",0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
Does the website include Terms & Conditions and a Privacy policy link?,Yes,0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
Who holds the copyright for the website content?,Simon Fraser University,0_14_2_2,https://www.sfu.ca/fs/about/contact-us.html
What must every employee do when they find a hazard?,Report all hazards and be aware of reporting procedures.,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
To whom should urgent hazards be reported?,Campus Security Emergency Line: 778.782.4500.,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
What is the Campus Security Emergency Line number?,778.782.4500,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
What are examples of situations requiring immediate action?,a suspicious package; a gas or chemical smell; a suspicious person,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
Does this reporting requirement apply to non-emergency situations?,Yes,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
What are examples of non-emergency situations that should be reported?,"Blocked emergency evacuation routes, workstation ergonomics, indoor air quality issues, broken steps, damaged seats, protruding branches, poor lighting, damaged railings",0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
Who should employees report all hazards to initially?,Your supervisor,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
Who is responsible for investigating and initiating appropriate action after a hazard is reported?,Your supervisor.,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
What should you do if your supervisor fails to address your perceived hazard?,Contact your local joint safety committee or Environmental Health and Safety at ehrs_sfu@sfu.ca.,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
How do you contact the local joint safety committee or Environmental Health and Safety?,ehrs_sfu@sfu.ca,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
What is the Environmental Health and Safety email address?,ehrs_sfu@sfu.ca,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
When should hazards outside of a department be reported?,Immediately for urgent hazards — Campus Security Emergency Line: 778.782.4500; for non-emergencies contact Environmental Health and Safety at ehrs_sfu@sfu.ca.,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
"What are examples of hazards that can occur in hallways, classrooms, lecture theatres, cafeterias, stairwells, access routes, or outdoor areas?","Broken steps, damaged seats, protruding branches, poor lighting, damaged railings",0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
"Should broken steps, damaged seats, or protruding branches be reported?",Yes — report them to your supervisor or Environmental Health and Safety (ehrs_sfu@sfu.ca).,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
Is poor lighting considered a reportable hazard?,Yes — report it to your supervisor; if not addressed contact your local joint safety committee or Environmental Health and Safety at ehrs_sfu@sfu.ca.,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
Should damaged railings be reported?,Yes — report it to your supervisor (or contact your local joint safety committee/Environmental Health and Safety at ehrs_sfu@sfu.ca if not addressed).,0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
Where is Simon Fraser University located (address)?,"8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_14_2,https://www.sfu.ca/srs/contact/report/report-hazard.html
